Date,Japan,China,South Korea,India,Taiwan,France,Spain,United Kingdom,Turkey,Italy,Netherlands,Thailand,Pakistan,Belgium,Kuwait,Singapore Republic,Indonesia,Bangladesh,Portugal,Poland,Chile,Egypt,Brazil,Mexico,Malaysia,Argentina,Greece,Germany,Lithuania,United Arab Emirates,Dominican Republic,Puerto Rico,Jordan,United States,Jamaica,Croatia,Colombia,Finland,Canada,Philippines,Panama,Malta,Sweden,Israel,Hong Kong,Norway,United States Virgin Islands,El Salvador,Russian Federation,Vietnam,Myanmar,Bahrain,Gibraltar,Australia,Senegal,Cuba,Denmark,Papua New Guinea,Unknown,Mauritania,Iceland,Estonia,Bahamas,Period End Date
2016-02-23,541111.00,0,270477.00,308986.00,0,73125.00,0,257371.00,338998.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-23
2016-02-24,411356.00,0,402439.00,0,0,0,0,0,0,144939.00,0,0,0,0,0,0,0,0,0,0,129020.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-24
2016-02-25,131880.00,253387.00,267340.00,0,0,0,122168.00,257484.00,0,0,0,0,0,0,0,0,0,0,121979.00,0,0,0,0,0,0,99934.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-25
2016-02-26,627524.00,0,262352.00,131317.00,137767.00,153670.00,107752.00,0,0,0,0,0,146290.00,138073.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158865.00,64073.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-26
2016-02-27,472977.00,146269.00,0,140829.00,162932.00,0,0,0,124745.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4978.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-27
2016-02-28,433092.00,170550.00,130814.00,130265.00,0,146360.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308557.00,0,0,0,0,0,0,0,0,0,0,0,143852.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-28
2016-02-29,1087747.00,344383.00,251319.00,304318.00,126465.00,139870.00,134560.00,203278.00,0,0,0,0,0,0,0,155607.00,0,0,0,0,0,0,0,0,0,0,0,0,141614.00,148257.00,0,67761.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-29
2016-03-01,0,0,383655.00,0,138219.00,0,142017.00,0,124333.00,0,0,0,0,0,0,0,121049.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-01
2016-03-02,549022.00,418050.00,0,107794.00,0,0,0,203243.00,140644.00,137767.00,0,203483.00,0,0,0,0,140188.00,0,0,0,0,0,0,132760.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-02
2016-03-03,1058538.00,282602.00,646884.00,0,0,0,0,0,0,0,0,0,144957.00,0,150019.00,0,0,0,0,0,137034.00,152024.00,272828.00,0,0,0,0,0,0,0,133218.00,0,0,0,0,0,0,0,0,0,0,0,7164.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-03
2016-03-04,974369.00,0,610065.00,131317.00,130579.00,0,289731.00,0,104461.00,144939.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73015.00,0,0,0,0,0,163516.00,0,0,0,0,0,0,0,0,0,0,0,0,7968.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-04
2016-03-05,265265.00,154985.00,128445.00,0,0,73235.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000.00,0,0,0,0,145147.00,0,0,0,65279.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-05
2016-03-06,273859.00,282802.00,486626.00,124655.00,277225.00,133647.00,127861.00,0,0,0,0,0,0,137246.00,0,0,0,0,0,0,0,0,0,0,0,224985.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-06
