date,trend,tweet_count
11-09-2025,Wチャンス,156381.0
11-09-2025,#モンスト,28276.0
11-09-2025,#الاستغفار_يذهب_الهموم,
11-09-2025,#横山万博,23594.0
11-09-2025,#MillexPerthSanta,149502.0
11-09-2025,まりほー,
11-09-2025,横山くん,11182.0
11-09-2025,PERTHSANTA STOPMOMENT LIVE,156833.0
11-09-2025,こいほー,
11-09-2025,すわほー,
11-09-2025,ASHDRES MINAMAHAL TRAILER,43222.0
11-09-2025,チャンテ4,
11-09-2025,大竹完封,
11-09-2025,中村奨成,
11-09-2025,大竹さん,
11-09-2025,JEONGHAN,16150.0
11-09-2025,ベルナルド,
11-09-2025,元祖いちごちゃん,
11-09-2025,Masih Ada Lazada99 Sale,
11-09-2025,武蔵小杉,21507.0
11-09-2025,トム・ブラウン,
11-09-2025,電車遅延,
11-09-2025,大雨の影響,15369.0
11-09-2025,横山さん,
11-09-2025,レインボー,
11-09-2025,どう森新作,
11-09-2025,ジェニーハイ,
11-09-2025,DUSTBIA KINAKABAHAN MV DAY,423221.0
